Canada, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1940-1949        1           1258643.86      1318040.57      2576684.44
1940-1949        2           1206322.72      1258273.95      2464596.67
1940-1949        3           1158895.11      1204442.94      2363338.05
1940-1949        4           1126734.50      1167269.19      2294003.69
1940-1949        5           1100557.32      1136979.76      2237537.08
1940-1949        6           1080749.13      1113914.26      2194663.40
1940-1949        7           1067234.24      1097864.79      2165099.02
1940-1949        8           1059876.81      1088633.56      2148510.37
1940-1949        9           1055110.58      1082439.40      2137549.98
1940-1949       10           1057991.60      1084400.17      2142391.77
1940-1949       11           1061942.44      1087605.17      2149547.60
1940-1949       12           1066996.49      1092045.79      2159042.29
1940-1949       13           1069740.28      1094122.55      2163862.82
1940-1949       14           1071548.25      1095099.41      2166647.66
1940-1949       15           1074817.10      1097749.52      2172566.62
1940-1949       16           1078528.55      1101287.64      2179816.20
1940-1949       17           1081060.89      1102043.05      2183103.94
1940-1949       18           1084852.98      1101687.34      2186540.32
1940-1949       19           1087581.88      1098838.75      2186420.63
1940-1949       20           1087814.59      1093976.52      2181791.11
1940-1949       21           1088229.15      1089392.75      2177621.90
1940-1949       22           1083847.40      1081291.28      2165138.68
1940-1949       23           1073906.10      1069680.26      2143586.36
1940-1949       24           1058563.48      1054231.64      2112795.11
1940-1949       25           1042349.51      1038069.48      2080418.99
1940-1949       26           1025425.52      1021459.26      2046884.78
1940-1949       27           1007347.37      1004916.02      2012263.39
1940-1949       28            988080.23       988671.88      1976752.11
1940-1949       29            968682.01       973375.18      1942057.19
1940-1949       30            948804.81       957811.36      1906616.17
1940-1949       31            928167.12       941611.51      1869778.63
1940-1949       32            906854.62       925350.40      1832205.02
1940-1949       33            884920.38       909128.44      1794048.82
1940-1949       34            862634.42       892830.98      1755465.39
1940-1949       35            840364.21       876464.82      1716829.03
1940-1949       36            818167.75       860336.41      1678504.15
1940-1949       37            796551.49       843139.21      1639690.70
1940-1949       38            775873.96       824321.10      1600195.06
1940-1949       39            756085.59       804640.70      1560726.29
1940-1949       40            736656.57       785433.24      1522089.81
1940-1949       41            717517.03       766459.80      1483976.83
1940-1949       42            700144.57       748780.03      1448924.60
1940-1949       43            685192.25       733100.04      1418292.29
1940-1949       44            671962.24       718967.81      1390930.05
1940-1949       45            658979.74       704957.62      1363937.36
1940-1949       46            646281.82       690934.10      1337215.92
1940-1949       47            634234.04       678944.29      1313178.33
1940-1949       48            622770.66       669727.28      1292497.94
1940-1949       49            611605.85       662218.98      1273824.83
1940-1949       50            600518.53       654487.62      1255006.15
1940-1949       51            589584.56       646772.17      1236356.74
1940-1949       52            577546.93       637968.48      1215515.41
