Estonia, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979       87             12163.25         3365.50        15528.75
1970-1979       88              9740.74         2640.96        12381.69
1970-1979       89              7656.75         2000.32         9657.07
1970-1979       90              5893.31         1467.74         7361.05
1970-1979       91              4444.18         1062.39         5506.57
1970-1979       92              3254.09          758.96         4013.05
1970-1979       93              2314.45          540.26         2854.71
1970-1979       94              1613.90          377.71         1991.60
1970-1979       95              1109.74          255.67         1365.41
1970-1979       96               758.59          164.83          923.42
1970-1979       97               499.71          104.62          604.32
1970-1979       98               317.78           66.08          383.85
1970-1979       99               203.95           45.08          249.03
1970-1979      100               121.82           29.16          150.98
1970-1979      101                67.85           13.51           81.36
1970-1979      102                34.82            5.40           40.22
1970-1979      103                15.55            2.69           18.24
1970-1979      104                 5.15            1.29            6.44
1970-1979      105                 0.74            0.38            1.12
1970-1979      106                 0.00            0.00            0.00
1970-1979      107                 0.00            0.00            0.00
1970-1979      108                 0.00            0.00            0.00
1970-1979      109                 0.00            0.00            0.00
1970-1979      110+                0.00            0.00            0.00
1980-1989        0            114878.79       120439.59       235318.38
1980-1989        1            113772.76       118777.85       232550.61
1980-1989        2            112790.30       117549.04       230339.34
1980-1989        3            112133.08       116474.99       228608.07
1980-1989        4            111601.99       115761.97       227363.96
1980-1989        5            110700.56       114931.09       225631.65
1980-1989        6            109705.72       113984.03       223689.75
1980-1989        7            108951.79       113235.30       222187.09
1980-1989        8            108704.38       113056.46       221760.84
1980-1989        9            108356.16       112764.81       221120.97
1980-1989       10            108073.89       112729.15       220803.04
1980-1989       11            107317.43       112493.88       219811.32
1980-1989       12            106096.29       111578.27       217674.56
1980-1989       13            104630.82       110234.14       214864.95
1980-1989       14            103145.79       109067.87       212213.66
1980-1989       15            102167.80       108614.48       210782.28
1980-1989       16            101484.80       108538.00       210022.81
1980-1989       17            100874.34       108519.86       209394.20
1980-1989       18            100999.27       108823.37       209822.64
1980-1989       19            101732.20       109379.67       211111.87
1980-1989       20            102723.60       109928.70       212652.30
1980-1989       21            104585.23       111091.76       215676.99
1980-1989       22            106726.73       112895.39       219622.12
1980-1989       23            109195.25       115196.44       224391.69
1980-1989       24            112031.75       117651.67       229683.42
1980-1989       25            114588.38       119512.60       234100.98
1980-1989       26            116407.00       120602.66       237009.66
1980-1989       27            117745.76       120965.24       238711.00
1980-1989       28            118400.88       120477.59       238878.47
1980-1989       29            118428.48       119709.07       238137.55
1980-1989       30            118378.87       118855.12       237233.98
1980-1989       31            118057.31       117665.52       235722.83
1980-1989       32            117311.12       116059.66       233370.78
1980-1989       33            115916.66       113789.64       229706.29
1980-1989       34            113073.97       110186.58       223260.56
1980-1989       35            109115.72       105577.24       214692.96
1980-1989       36            105370.64       101292.52       206663.16
1980-1989       37            102508.21        98028.13       200536.34
1980-1989       38            101443.77        96493.20       197936.97
1980-1989       39            101101.73        95620.45       196722.18
1980-1989       40            100495.01        94545.38       195040.39
1980-1989       41            100406.78        93960.87       194367.65
1980-1989       42            100972.85        93927.97       194900.82
1980-1989       43            101825.65        94019.63       195845.29
1980-1989       44            103005.01        94627.92       197632.92
1980-1989       45            104626.79        95636.16       200262.95
1980-1989       46            106257.62        96306.53       202564.15
1980-1989       47            107813.90        96706.55       204520.45
1980-1989       48            107944.32        95940.20       203884.52
1980-1989       49            107540.94        94791.95       202332.88
1980-1989       50            107472.21        93727.87       201200.08
1980-1989       51            107077.82        92083.11       199160.93
1980-1989       52            106425.45        90368.26       196793.71
1980-1989       53            105752.00        88296.22       194048.21
