France, Civilian Population, Exposure to risk (period 1x10), 	Last modified: 27 Aug 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1830-1839       49           1844544.87      1585560.05      3430104.92
1830-1839       50           1800978.23      1565484.27      3366462.50
1830-1839       51           1754868.96      1540956.57      3295825.52
1830-1839       52           1706243.08      1512688.83      3218931.91
1830-1839       53           1653815.08      1479298.99      3133114.08
1830-1839       54           1609960.17      1440410.02      3050370.19
1830-1839       55           1576586.37      1399262.41      2975848.78
1830-1839       56           1532179.00      1349740.26      2881919.25
1830-1839       57           1485488.86      1297373.62      2782862.47
1830-1839       58           1437932.43      1243857.92      2681790.35
1830-1839       59           1387622.04      1188745.23      2576367.28
1830-1839       60           1335686.58      1133414.42      2469100.99
1830-1839       61           1285534.93      1082908.43      2368443.36
1830-1839       62           1236407.23      1034201.26      2270608.48
1830-1839       63           1188088.81       987038.13      2175126.94
1830-1839       64           1132904.55       941113.24      2074017.79
1830-1839       65           1073886.63       897998.84      1971885.46
1830-1839       66           1019890.41       859489.02      1879379.44
1830-1839       67            967407.33       821550.31      1788957.63
1830-1839       68            914636.91       782609.73      1697246.64
1830-1839       69            859424.71       741794.56      1601219.28
1830-1839       70            802074.26       699651.50      1501725.76
1830-1839       71            743046.66       654124.27      1397170.92
1830-1839       72            682339.68       606347.74      1288687.42
1830-1839       73            621099.45       557194.77      1178294.22
1830-1839       74            562463.89       507685.67      1070149.56
1830-1839       75            506691.75       459394.40       966086.15
1830-1839       76            453031.20       411705.73       864736.92
1830-1839       77            402207.14       365427.38       767634.52
1830-1839       78            353810.31       320425.16       674235.47
1830-1839       79            309000.18       277910.07       586910.25
1830-1839       80            261443.52       238140.28       499583.79
1830-1839       81            219667.46       199481.91       419149.38
1830-1839       82            180877.25       163752.96       344630.22
1830-1839       83            145844.19       131596.24       277440.43
1830-1839       84            115327.86       103672.44       219000.29
1830-1839       85             89873.73        80435.80       170309.52
1830-1839       86             69607.11        62011.68       131618.79
1830-1839       87             53802.70        47712.11       101514.80
1830-1839       88             41651.27        36791.08        78442.35
1830-1839       89             32319.12        28467.41        60786.52
1830-1839       90             24977.50        21960.40        46937.90
1830-1839       91             19141.45        16816.66        35958.10
1830-1839       92             14499.07        12738.20        27237.27
1830-1839       93             10848.41         9537.16        20385.57
1830-1839       94              7996.93         7040.50        15037.42
1830-1839       95              5760.48         5073.94        10834.42
1830-1839       96              4045.84         3563.30         7609.14
1830-1839       97              2751.41         2425.48         5176.89
1830-1839       98              1800.97         1590.34         3391.30
1830-1839       99              1128.57          990.84         2119.41
1830-1839      100               698.32          612.21         1310.53
1830-1839      101               458.90          406.37          865.26
1830-1839      102               297.02          266.02          563.04
1830-1839      103               188.72          171.59          360.31
1830-1839      104               117.18          108.11          225.29
1830-1839      105                70.74           66.37          137.11
1830-1839      106                40.88           39.27           80.15
1830-1839      107                21.83           21.57           43.40
1830-1839      108                 9.66           10.51           20.16
1830-1839      109                 2.53            3.72            6.25
1830-1839      110+                0.15            0.66            0.81
1840-1849        0           4339585.20      4511279.05      8850864.25
1840-1849        1           3970763.15      4058554.16      8029317.31
1840-1849        2           3803205.17      3877801.12      7681006.28
1840-1849        3           3672769.17      3743086.22      7415855.39
1840-1849        4           3574324.60      3648688.56      7223013.16
1840-1849        5           3484440.48      3568455.60      7052896.08
1840-1849        6           3419044.91      3515245.39      6934290.29
1840-1849        7           3360858.18      3465576.28      6826434.46
1840-1849        8           3312864.01      3422478.43      6735342.44
1840-1849        9           3278737.62      3387212.70      6665950.31
1840-1849       10           3256295.40      3357796.74      6614092.14
1840-1849       11           3226995.83      3322396.00      6549391.84
1840-1849       12           3194691.01      3285492.36      6480183.37
1840-1849       13           3165738.49      3254261.78      6420000.28
1840-1849       14           3139209.53      3228770.39      6367979.93
1840-1849       15           3108384.03      3202346.47      6310730.50
1840-1849       16           3080553.34      3174828.96      6255382.31
1840-1849       17           3047362.29      3143725.98      6191088.27
1840-1849       18           3014731.11      3113775.98      6128507.09
1840-1849       19           2982336.39      3083151.78      6065488.17
1840-1849       20           2944264.51      3043852.97      5988117.48
1840-1849       21           2908020.47      3004837.42      5912857.89
1840-1849       22           2870583.99      2960796.87      5831380.86
1840-1849       23           2836993.67      2918167.16      5755160.83
1840-1849       24           2804632.45      2878172.32      5682804.76
1840-1849       25           2766392.31      2835409.49      5601801.80
