Taiwan, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1980-1989       76            185587.36       171100.51       356687.87
1980-1989       77            165328.99       144872.35       310201.34
1980-1989       78            145812.38       121959.87       267772.25
1980-1989       79            127912.51       103190.33       231102.84
1980-1989       80            106501.34        80417.00       186918.34
1980-1989       81             91737.23        66740.16       158477.39
1980-1989       82             78287.53        54584.10       132871.63
1980-1989       83             65743.80        43904.19       109648.00
1980-1989       84             54407.82        34975.85        89383.67
1980-1989       85             44622.81        27617.45        72240.26
1980-1989       86             36219.68        21483.27        57702.95
1980-1989       87             28895.00        16392.88        45287.88
1980-1989       88             22688.10        12363.89        35051.99
1980-1989       89             17497.84         9236.69        26734.53
1980-1989       90             13283.34         6817.13        20100.46
1980-1989       91              9970.84         4994.71        14965.55
1980-1989       92              7380.18         3634.23        11014.41
1980-1989       93              5402.74         2634.33         8037.07
1980-1989       94              3892.74         1935.03         5827.77
1980-1989       95              2724.85         1386.37         4111.22
1980-1989       96              1859.96          950.34         2810.31
1980-1989       97              1243.28          643.84         1887.13
1980-1989       98               815.18          427.35         1242.53
1980-1989       99               524.99          278.83          803.82
1980-1989      100               329.95          179.93          509.88
1980-1989      101               201.53          113.53          315.06
1980-1989      102               119.20           69.19          188.40
1980-1989      103                67.89           40.56          108.45
1980-1989      104                36.56           22.31           58.88
1980-1989      105                17.63           10.73           28.36
1980-1989      106                 6.45            3.41            9.86
1980-1989      107                 0.74            0.15            0.88
1980-1989      108                 0.00            0.00            0.00
1980-1989      109                 0.00            0.00            0.00
1980-1989      110+                0.00            0.00            0.00
1990-1999        0           1434644.05      1560874.46      2995518.51
1990-1999        1           1543831.24      1674617.94      3218449.18
1990-1999        2           1561507.43      1691894.71      3253402.13
1990-1999        3           1559234.77      1689401.70      3248636.47
1990-1999        4           1562999.61      1692574.20      3255573.81
1990-1999        5           1575436.34      1705203.88      3280640.21
1990-1999        6           1590565.93      1718886.21      3309452.14
1990-1999        7           1622395.35      1747905.62      3370300.97
1990-1999        8           1662764.82      1785582.07      3448346.90
1990-1999        9           1702361.42      1821942.98      3524304.41
1990-1999       10           1745240.44      1863275.83      3608516.27
1990-1999       11           1782431.11      1898141.12      3680572.23
1990-1999       12           1816879.39      1933164.87      3750044.27
