The United States of America, Exposure to risk (period 1x10), 	Last modified: 04 May 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1940-1949       80           1363433.48      1128309.01      2491742.48
1940-1949       81           1184969.59       964852.62      2149822.21
1940-1949       82           1019210.79       815877.00      1835087.78
1940-1949       83            865750.37       680324.80      1546075.17
1940-1949       84            726451.91       559423.10      1285875.00
1940-1949       85            602472.56       454018.53      1056491.09
1940-1949       86            493527.75       363641.52       857169.26
1940-1949       87            397451.00       285774.90       683225.90
1940-1949       88            313154.30       219337.88       532492.18
1940-1949       89            241040.02       164222.86       405262.88
1940-1949       90            182040.15       120411.14       302451.29
1940-1949       91            136148.40        87416.14       223564.54
1940-1949       92            100776.22        62980.82       163757.04
1940-1949       93             73709.49        45148.38       118857.87
1940-1949       94             53359.81        32290.43        85650.24
1940-1949       95             38291.97        22945.76        61237.73
1940-1949       96             27435.55        16266.57        43702.11
1940-1949       97             19704.89        11559.62        31264.51
1940-1949       98             14278.77         8299.75        22578.52
1940-1949       99             10366.19         5966.55        16332.74
1940-1949      100              7170.39         4096.20        11266.59
1940-1949      101              4768.27         2706.87         7475.14
1940-1949      102              3156.19         1778.83         4935.02
1940-1949      103              2070.89         1160.38         3231.27
1940-1949      104              1343.69          748.86         2092.54
1940-1949      105               863.36          479.52         1342.88
1940-1949      106               552.02          305.24          857.25
1940-1949      107               355.63          192.90          548.53
1940-1949      108               232.55          121.98          354.53
1940-1949      109               153.28           77.14          230.42
1940-1949      110+              338.98          142.66          481.64
1950-1959        0          18117181.88     18778848.48     36896030.36
1950-1959        1          18034820.81     18758709.75     36793530.56
1950-1959        2          18169348.08     18785945.81     36955293.89
1950-1959        3          18050556.26     18651684.66     36702240.92
1950-1959        4          17459941.46     18166940.61     35626882.07
1950-1959        5          16796389.94     17405370.19     34201760.13
1950-1959        6          16252764.10     16820888.56     33073652.66
1950-1959        7          15897758.34     16527250.38     32425008.73
1950-1959        8          15270471.73     15821816.42     31092288.14
1950-1959        9          14708877.48     15257100.23     29965977.71
1950-1959       10          14328911.11     14894848.93     29223760.04
1950-1959       11          13775552.16     14303295.60     28078847.76
1950-1959       12          13191476.35     13684221.44     26875697.79
1950-1959       13          12434760.01     12858409.24     25293169.24
1950-1959       14          12234375.18     12625080.00     24859455.18
1950-1959       15          11787893.19     12017441.22     23805334.41
1950-1959       16          11414288.60     11612857.80     23027146.40
1950-1959       17          11092140.64     11264521.44     22356662.08
1950-1959       18          10898053.94     10488349.47     21386403.41
1950-1959       19          10703166.14     10150366.91     20853533.05
1950-1959       20          10737837.40      9857984.16     20595821.55
1950-1959       21          10874483.11      9797177.44     20671660.55
1950-1959       22          10881427.00      9713426.64     20594853.64
1950-1959       23          11180709.67     10154793.71     21335503.37
1950-1959       24          11327459.35     10445366.35     21772825.70
1950-1959       25          11397854.51     10723473.58     22121328.10
1950-1959       26          11844093.01     11327085.57     23171178.59
1950-1959       27          12199626.52     11770059.73     23969686.26
1950-1959       28          12007082.47     11475950.11     23483032.58
1950-1959       29          12136156.16     11529632.46     23665788.62
1950-1959       30          12329702.92     11719618.38     24049321.30
1950-1959       31          12380111.53     11834432.38     24214543.91
1950-1959       32          12194890.54     11571383.00     23766273.54
1950-1959       33          12352687.45     11733849.53     24086536.98
1950-1959       34          12400302.73     11815554.84     24215857.57
1950-1959       35          12228194.75     11650634.77     23878829.52
1950-1959       36          12219825.03     11657910.47     23877735.50
1950-1959       37          12199120.46     11682680.73     23881801.19
1950-1959       38          11876013.58     11368290.03     23244303.61
1950-1959       39          11633927.32     11197102.35     22831029.67
1950-1959       40          11443279.72     11037455.77     22480735.49
1950-1959       41          11261328.63     10939468.11     22200796.74
1950-1959       42          11010954.44     10704388.26     21715342.70
1950-1959       43          10858399.81     10572173.49     21430573.30
1950-1959       44          10709346.13     10448730.08     21158076.21
1950-1959       45          10541272.51     10285539.08     20826811.59
1950-1959       46          10277874.09     10043676.43     20321550.52
1950-1959       47          10071792.53      9860016.80     19931809.33
1950-1959       48           9936142.81      9762208.91     19698351.72
1950-1959       49           9549488.65      9396770.72     18946259.37
1950-1959       50           9264841.78      9115018.26     18379860.04
1950-1959       51           9060327.59      8911732.36     17972059.95
1950-1959       52           8838750.06      8704587.03     17543337.09
1950-1959       53           8548461.40      8424201.75     16972663.15
1950-1959       54           8307132.59      8184349.28     16491481.87
