Greece, Exposure to risk (period 1x10), 	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999       69            540182.26       459842.15      1000024.41
1990-1999       70            510302.48       425608.52       935911.00
1990-1999       71            479698.69       391624.01       871322.70
1990-1999       72            450227.10       359219.79       809446.89
1990-1999       73            417552.92       327365.40       744918.32
1990-1999       74            389023.84       300387.68       689411.52
1990-1999       75            368863.60       281032.78       649896.39
1990-1999       76            348982.85       263329.65       612312.50
1990-1999       77            333049.78       247688.73       580738.52
1990-1999       78            319063.66       232074.99       551138.65
1990-1999       79            300157.05       214908.37       515065.42
1990-1999       80            290302.59       200376.73       490679.32
1990-1999       81            269857.87       184804.39       454662.26
1990-1999       82            247960.85       168647.52       416608.37
1990-1999       83            224720.09       151447.84       376167.93
1990-1999       84            200450.97       133369.75       333820.72
1990-1999       85            175610.81       115061.50       290672.31
1990-1999       86            150808.74        97665.77       248474.51
1990-1999       87            126679.32        81134.78       207814.10
1990-1999       88            104645.66        65915.24       170560.90
1990-1999       89             85573.01        52536.83       138109.84
1990-1999       90             68644.34        40973.65       109617.99
1990-1999       91             53864.09        31417.82        85281.90
1990-1999       92             41530.15        23622.16        65152.32
1990-1999       93             31418.33        17304.33        48722.66
1990-1999       94             23294.87        12368.87        35663.74
1990-1999       95             16851.94         8619.50        25471.44
1990-1999       96             11932.24         5881.60        17813.83
1990-1999       97              8305.34         3956.30        12261.65
1990-1999       98              5786.29         2660.62         8446.91
1990-1999       99              4027.28         1735.79         5763.07
1990-1999      100              2698.17         1065.27         3763.44
1990-1999      101              1704.84          642.29         2347.12
1990-1999      102              1033.71          375.93         1409.63
1990-1999      103               610.87          213.75          824.62
1990-1999      104               355.56          117.96          473.52
1990-1999      105               201.38           62.71          264.08
1990-1999      106               108.40           31.19          139.59
1990-1999      107                56.41           13.66           70.06
1990-1999      108                28.19            4.57           32.76
1990-1999      109                11.78            1.46           13.25
1990-1999      110+                5.75            0.22            5.96
2000-2009        0            522682.09       546010.38      1068692.47
2000-2009        1            518976.45       542137.32      1061113.77
2000-2009        2            519014.94       542026.97      1061041.91
2000-2009        3            518724.76       540951.51      1059676.27
2000-2009        4            519342.75       541099.03      1060441.79
2000-2009        5            521484.24       542710.61      1064194.85
2000-2009        6            524592.05       544869.60      1069461.65
2000-2009        7            527678.95       547638.64      1075317.59
2000-2009        8            532758.98       553305.49      1086064.48
2000-2009        9            539628.01       560327.09      1099955.10
2000-2009       10            547448.52       568035.06      1115483.58
2000-2009       11            555396.42       576507.95      1131904.36
2000-2009       12            564854.13       586396.96      1151251.08
2000-2009       13            572472.58       595153.87      1167626.45
2000-2009       14            582665.03       608732.94      1191397.97
2000-2009       15            594900.83       626189.89      1221090.72
2000-2009       16            609995.13       648150.63      1258145.77
2000-2009       17            630509.42       674638.97      1305148.39
2000-2009       18            653703.96       700180.33      1353884.29
2000-2009       19            675601.42       724585.72      1400187.14
2000-2009       20            696197.25       748510.65      1444707.91
2000-2009       21            715339.59       768868.47      1484208.06
2000-2009       22            734259.39       788866.73      1523126.13
2000-2009       23            756806.95       812752.30      1569559.25
2000-2009       24            776629.71       831880.50      1608510.21
2000-2009       25            794918.21       847582.41      1642500.62
2000-2009       26            808850.19       857647.57      1666497.76
2000-2009       27            816818.16       861673.15      1678491.30
2000-2009       28            824517.82       866189.62      1690707.45
2000-2009       29            828175.98       866089.59      1694265.57
2000-2009       30            832715.19       865964.74      1698679.92
2000-2009       31            839094.72       867147.32      1706242.04
2000-2009       32            845813.93       868078.49      1713892.42
2000-2009       33            848341.01       865008.70      1713349.70
2000-2009       34            847355.08       860447.19      1707802.26
2000-2009       35            845108.21       855561.52      1700669.73
2000-2009       36            840538.22       847105.39      1687643.61
2000-2009       37            835854.65       837664.86      1673519.51
2000-2009       38            832429.19       830038.54      1662467.73
2000-2009       39            826680.07       820361.72      1647041.78
2000-2009       40            820586.27       810990.49      1631576.77
2000-2009       41            811781.45       799953.22      1611734.67
2000-2009       42            799491.75       786929.54      1586421.30
2000-2009       43            789725.09       775959.81      1565684.90
2000-2009       44            783867.23       768044.28      1551911.52
