Korea, Exposure to risk (period 1x10), 	Last modified: 11 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2010-2016       74           1255281.30       921575.81      2176857.11
2010-2016       75           1177310.82       829258.94      2006569.76
2010-2016       76           1111859.99       750299.69      1862159.68
2010-2016       77           1040157.77       669689.99      1709847.77
2010-2016       78            960201.03       586221.70      1546422.74
2010-2016       79            882871.31       506933.06      1389804.36
2010-2016       80            807725.18       434947.21      1242672.39
2010-2016       81            729573.84       368415.93      1097989.77
2010-2016       82            651981.27       307809.90       959791.17
2010-2016       83            578358.69       255589.65       833948.34
2010-2016       84            505527.78       210301.22       715829.00
2010-2016       85            437581.73       172307.08       609888.80
2010-2016       86            376596.74       142101.40       518698.14
2010-2016       87            320914.11       115522.30       436436.41
2010-2016       88            268199.53        91732.86       359932.39
2010-2016       89            218524.83        71651.44       290176.26
2010-2016       90            175083.14        55156.06       230239.20
2010-2016       91            138929.39        41903.61       180833.00
2010-2016       92            108699.13        31109.52       139808.65
2010-2016       93             82794.44        22275.91       105070.35
2010-2016       94             60538.46        15277.49        75815.95
2010-2016       95             43071.59        10239.99        53311.58
2010-2016       96             30500.84         6805.26        37306.10
2010-2016       97             21407.04         4447.75        25854.79
2010-2016       98             14725.71         2870.59        17596.30
2010-2016       99              9784.81         1838.20        11623.01
2010-2016      100              6158.36         1137.41         7295.77
2010-2016      101              3732.20          675.54         4407.74
2010-2016      102              2211.26          391.00         2602.26
2010-2016      103              1259.22          218.54         1477.77
2010-2016      104               685.92          117.34          803.26
2010-2016      105               361.00           59.70          420.69
2010-2016      106               184.98           28.56          213.53
2010-2016      107                91.73           12.40          104.13
2010-2016      108                42.96            4.12           47.08
2010-2016      109                18.37            0.27           18.64
2010-2016      110+                7.44            0.00            7.44
