Greece, Deaths (period 1x10), 	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2000-2009       38               520.00         1177.00         1697.00
2000-2009       39               560.00         1270.00         1830.00
2000-2009       40               586.00         1319.00         1905.00
2000-2009       41               634.00         1504.00         2138.00
2000-2009       42               714.00         1554.00         2268.00
2000-2009       43               806.00         1758.00         2564.00
2000-2009       44               814.00         1941.00         2755.00
2000-2009       45               993.00         2058.00         3051.00
2000-2009       46               997.00         2254.00         3251.00
2000-2009       47              1095.00         2403.00         3498.00
2000-2009       48              1162.00         2569.00         3731.00
2000-2009       49              1264.00         2847.00         4111.00
2000-2009       50              1382.00         3020.00         4402.00
2000-2009       51              1439.00         3209.00         4648.00
2000-2009       52              1507.00         3525.00         5032.00
2000-2009       53              1691.00         3926.00         5617.00
2000-2009       54              1790.00         4176.00         5966.00
2000-2009       55              1924.00         4518.00         6442.00
2000-2009       56              2022.00         4761.00         6783.00
2000-2009       57              2152.00         4991.00         7143.00
2000-2009       58              2208.00         5212.00         7420.00
2000-2009       59              2377.00         5605.00         7982.00
2000-2009       60              2614.00         5913.00         8527.00
2000-2009       61              2768.00         6455.00         9223.00
2000-2009       62              3170.00         6847.00        10017.00
2000-2009       63              3300.00         7118.00        10418.00
2000-2009       64              3574.00         7651.00        11225.00
2000-2009       65              4089.00         8352.00        12441.00
2000-2009       66              4564.00         9238.00        13802.00
2000-2009       67              5252.00        10151.00        15403.00
2000-2009       68              5963.00        11114.00        17077.00
2000-2009       69              6834.00        12183.00        19017.00
2000-2009       70              7698.00        13249.00        20947.00
2000-2009       71              8623.00        14311.00        22934.00
2000-2009       72              9940.00        15409.00        25349.00
2000-2009       73             10937.00        16227.00        27164.00
2000-2009       74             12342.00        17494.00        29836.00
2000-2009       75             13763.00        18091.00        31854.00
2000-2009       76             15065.00        18499.00        33564.00
2000-2009       77             16051.00        19146.00        35197.00
2000-2009       78             17407.00        18962.00        36369.00
2000-2009       79             18565.00        19202.00        37767.00
2000-2009       80             19978.00        19026.00        39004.00
2000-2009       81             20152.00        18600.00        38752.00
2000-2009       82             20697.00        17781.00        38478.00
2000-2009       83             21083.00        16875.00        37958.00
2000-2009       84             20802.00        16022.00        36824.00
2000-2009       85             20834.00        15536.00        36370.00
2000-2009       86             20470.00        14539.00        35009.00
2000-2009       87             20137.00        13919.00        34056.00
2000-2009       88             19246.00        12916.00        32162.00
2000-2009       89             18286.00        11514.00        29800.00
2000-2009       90             16782.00        10477.00        27259.00
2000-2009       91             15005.00         9496.00        24501.00
2000-2009       92             13239.00         8038.00        21277.00
2000-2009       93             11054.00         6805.00        17859.00
2000-2009       94              9135.00         5530.00        14665.00
2000-2009       95              7284.00         4150.00        11434.00
2000-2009       96              5651.00         3152.00         8803.00
2000-2009       97              4207.00         2337.00         6544.00
2000-2009       98              3139.00         1578.00         4717.00
2000-2009       99              2174.00         1114.00         3288.00
2000-2009      100              1652.95          702.80         2355.75
2000-2009      101              1092.51          452.22         1544.73
2000-2009      102               696.22          281.75          977.97
2000-2009      103               431.14          170.23          601.37
2000-2009      104               258.25           99.30          357.55
2000-2009      105               148.74           55.97          204.71
2000-2009      106                82.42           30.73          113.15
2000-2009      107                44.28           16.45           60.73
2000-2009      108                23.40            7.99           31.39
2000-2009      109                12.04            2.25           14.29
2000-2009      110+                5.00            0.32            5.32
2010-2013        0               633.00          798.00         1431.00
2010-2013        1                44.00           62.00          106.00
2010-2013        2                34.00           28.00           62.00
2010-2013        3                35.00           36.00           71.00
2010-2013        4                22.00           30.00           52.00
2010-2013        5                22.00           31.00           53.00
2010-2013        6                18.00           25.00           43.00
2010-2013        7                20.00           21.00           41.00
2010-2013        8                14.00           29.00           43.00
2010-2013        9                16.00           21.00           37.00
2010-2013       10                17.00           23.00           40.00
2010-2013       11                24.00           19.00           43.00
2010-2013       12                16.00           26.00           42.00
2010-2013       13                26.00           25.00           51.00
2010-2013       14                24.00           36.00           60.00
2010-2013       15                38.00           53.00           91.00
2010-2013       16                39.00           80.00          119.00
2010-2013       17                34.00          101.00          135.00
2010-2013       18                44.00          135.00          179.00
2010-2013       19                45.00          151.00          196.00
2010-2013       20                54.00          184.00          238.00
2010-2013       21                65.00          178.00          243.00
2010-2013       22                54.00          198.00          252.00
2010-2013       23                72.00          220.00          292.00
2010-2013       24                63.00          240.00          303.00
2010-2013       25                56.00          229.00          285.00
2010-2013       26                61.00          251.00          312.00
2010-2013       27                69.00          274.00          343.00
2010-2013       28                67.00          261.00          328.00
2010-2013       29                85.00          271.00          356.00
2010-2013       30               101.00          333.00          434.00
2010-2013       31               113.00          326.00          439.00
2010-2013       32               127.00          337.00          464.00
2010-2013       33               134.00          323.00          457.00
2010-2013       34               124.00          372.00          496.00
2010-2013       35               149.00          381.00          530.00
2010-2013       36               159.00          349.00          508.00
