Ireland, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1969        4               143.00          211.00          354.00
1960-1969        5               137.00          166.00          303.00
1960-1969        6               128.00          165.00          293.00
1960-1969        7                81.00          134.00          215.00
1960-1969        8               104.00          135.00          239.00
1960-1969        9                86.00          139.00          225.00
1960-1969       10                82.00          120.00          202.00
1960-1969       11                84.00           90.00          174.00
1960-1969       12                79.00          120.00          199.00
1960-1969       13                68.00          121.00          189.00
1960-1969       14                78.00          100.00          178.00
1960-1969       15                83.00          148.00          231.00
1960-1969       16                74.00          172.00          246.00
1960-1969       17               104.00          178.00          282.00
1960-1969       18                81.00          189.00          270.00
1960-1969       19               107.00          241.00          348.00
1960-1969       20               100.00          240.00          340.00
1960-1969       21                85.00          193.00          278.00
1960-1969       22                99.00          190.00          289.00
1960-1969       23               107.00          173.00          280.00
1960-1969       24                88.00          157.00          245.00
1960-1969       25               103.00          177.00          280.00
1960-1969       26                90.00          182.00          272.00
1960-1969       27               113.00          183.00          296.00
1960-1969       28               117.00          162.00          279.00
1960-1969       29               127.00          193.00          320.00
1960-1969       30               168.00          187.00          355.00
1960-1969       31               128.00          178.00          306.00
1960-1969       32               176.00          205.00          381.00
1960-1969       33               171.00          225.00          396.00
1960-1969       34               197.00          246.00          443.00
1960-1969       35               215.00          278.00          493.00
1960-1969       36               251.00          283.00          534.00
1960-1969       37               218.00          309.00          527.00
1960-1969       38               299.00          394.00          693.00
1960-1969       39               301.00          370.00          671.00
1960-1969       40               409.00          493.00          902.00
1960-1969       41               322.00          430.00          752.00
1960-1969       42               484.00          553.00         1037.00
1960-1969       43               448.00          574.00         1022.00
1960-1969       44               445.00          653.00         1098.00
1960-1969       45               621.00          840.00         1461.00
1960-1969       46               597.00          779.00         1376.00
1960-1969       47               649.00          862.00         1511.00
1960-1969       48               748.00          997.00         1745.00
1960-1969       49               776.00          977.00         1753.00
1960-1969       50              1110.00         1615.00         2725.00
1960-1969       51               774.00         1088.00         1862.00
1960-1969       52              1139.00         1568.00         2707.00
1960-1969       53              1020.00         1633.00         2653.00
1960-1969       54              1209.00         1828.00         3037.00
1960-1969       55              1081.00         1970.00         3051.00
1960-1969       56              1352.00         2135.00         3487.00
1960-1969       57              1222.00         2059.00         3281.00
1960-1969       58              1511.00         2495.00         4006.00
1960-1969       59              1377.00         2393.00         3770.00
1960-1969       60              2172.00         3385.00         5557.00
1960-1969       61              1461.00         2530.00         3991.00
1960-1969       62              2155.00         3382.00         5537.00
1960-1969       63              2110.00         3363.00         5473.00
1960-1969       64              2360.00         3660.00         6020.00
1960-1969       65              2862.00         4548.00         7410.00
1960-1969       66              2313.00         3581.00         5894.00
1960-1969       67              2502.00         3745.00         6247.00
1960-1969       68              3160.00         4699.00         7859.00
1960-1969       69              3041.00         4484.00         7525.00
1960-1969       70              4310.00         5315.00         9625.00
1960-1969       71              3122.00         4179.00         7301.00
1960-1969       72              4512.00         5499.00        10011.00
1960-1969       73              4441.00         5585.00        10026.00
1960-1969       74              4933.00         5692.00        10625.00
1960-1969       75              5097.00         5976.00        11073.00
1960-1969       76              5195.00         5723.00        10918.00
1960-1969       77              4559.00         5248.00         9807.00
1960-1969       78              5275.00         5605.00        10880.00
1960-1969       79              4497.00         4813.00         9310.00
1960-1969       80              6398.00         6023.00        12421.00
1960-1969       81              4304.00         4268.00         8572.00
1960-1969       82              5137.00         5129.00        10266.00
1960-1969       83              4896.00         4479.00         9375.00
1960-1969       84              5310.00         5012.00        10322.00
1960-1969       85              4504.00         4160.00         8664.00
1960-1969       86              4296.00         3794.00         8090.00
1960-1969       87              3530.00         3150.00         6680.00
1960-1969       88              3214.00         2516.00         5730.00
1960-1969       89              2452.00         2025.00         4477.00
1960-1969       90              2438.00         1830.00         4268.00
1960-1969       91              1459.00         1154.00         2613.00
1960-1969       92              1413.00          977.00         2390.00
1960-1969       93              1095.00          690.00         1785.00
1960-1969       94               851.00          557.00         1408.00
1960-1969       95               616.00          340.00          956.00
1960-1969       96               507.00          312.00          819.00
1960-1969       97               326.00          144.00          470.00
1960-1969       98               231.00          121.00          352.00
1960-1969       99               138.00           53.00          191.00
1960-1969      100                65.62           21.40           87.02
1960-1969      101                39.45           13.05           52.50
1960-1969      102                27.81            4.55           32.36
1960-1969      103                14.28            1.00           15.28
1960-1969      104                 5.57            4.00            9.57
1960-1969      105                 2.26            2.00            4.26
1960-1969      106                 2.00            2.00            4.00
1960-1969      107                 0.00            0.00            0.00
1960-1969      108                 1.00            1.00            2.00
1960-1969      109                 0.00            1.00            1.00
1960-1969      110+                0.00            1.00            1.00
1970-1979        0              4906.00         6530.00        11436.00
1970-1979        1               366.00          439.00          805.00
1970-1979        2               222.00          267.00          489.00
1970-1979        3               160.00          245.00          405.00
1970-1979        4               129.00          183.00          312.00
1970-1979        5                98.00          177.00          275.00
1970-1979        6                99.00          169.00          268.00
1970-1979        7                82.00          130.00          212.00
1970-1979        8                87.00          137.00          224.00
1970-1979        9                79.00          118.00          197.00
1970-1979       10                53.00          103.00          156.00
1970-1979       11                73.00          134.00          207.00
1970-1979       12                66.00          116.00          182.00
1970-1979       13                76.00          126.00          202.00
1970-1979       14                75.00          130.00          205.00
1970-1979       15                83.00          142.00          225.00
1970-1979       16               123.00          190.00          313.00
1970-1979       17               106.00          274.00          380.00
1970-1979       18               110.00          320.00          430.00
1970-1979       19               104.00          322.00          426.00
1970-1979       20               117.00          307.00          424.00
1970-1979       21               108.00          336.00          444.00
1970-1979       22               115.00          294.00          409.00
1970-1979       23                93.00          310.00          403.00
1970-1979       24               112.00          272.00          384.00
1970-1979       25               109.00          229.00          338.00
1970-1979       26               106.00          244.00          350.00
1970-1979       27                98.00          258.00          356.00
1970-1979       28               134.00          257.00          391.00
1970-1979       29               119.00          253.00          372.00
1970-1979       30               113.00          225.00          338.00
1970-1979       31               121.00          184.00          305.00
1970-1979       32               121.00          232.00          353.00
1970-1979       33               119.00          252.00          371.00
1970-1979       34               143.00          237.00          380.00
1970-1979       35               150.00          258.00          408.00
1970-1979       36               178.00          252.00          430.00
1970-1979       37               163.00          293.00          456.00
1970-1979       38               236.00          339.00          575.00
1970-1979       39               205.00          328.00          533.00
1970-1979       40               280.00          441.00          721.00
1970-1979       41               270.00          421.00          691.00
1970-1979       42               359.00          568.00          927.00
1970-1979       43               291.00          509.00          800.00
1970-1979       44               378.00          569.00          947.00
1970-1979       45               457.00          721.00         1178.00
1970-1979       46               516.00          722.00         1238.00
1970-1979       47               525.00          798.00         1323.00
1970-1979       48               637.00          911.00         1548.00
1970-1979       49               680.00          993.00         1673.00
1970-1979       50               892.00         1333.00         2225.00
1970-1979       51               711.00         1187.00         1898.00
1970-1979       52               964.00         1556.00         2520.00
1970-1979       53              1002.00         1581.00         2583.00
1970-1979       54              1095.00         1866.00         2961.00
1970-1979       55              1096.00         1922.00         3018.00
1970-1979       56              1312.00         2197.00         3509.00
1970-1979       57              1347.00         2262.00         3609.00
1970-1979       58              1496.00         2666.00         4162.00
1970-1979       59              1493.00         2609.00         4102.00
1970-1979       60              2155.00         3388.00         5543.00
1970-1979       61              1595.00         2852.00         4447.00
1970-1979       62              2101.00         3538.00         5639.00
1970-1979       63              2129.00         3697.00         5826.00
1970-1979       64              2306.00         4054.00         6360.00
1970-1979       65              2646.00         4571.00         7217.00
1970-1979       66              2343.00         4127.00         6470.00
1970-1979       67              2685.00         4695.00         7380.00
1970-1979       68              3216.00         5077.00         8293.00
1970-1979       69              3215.00         5076.00         8291.00
1970-1979       70              4250.00         5748.00         9998.00
1970-1979       71              3303.00         4946.00         8249.00
1970-1979       72              4171.00         5915.00        10086.00
1970-1979       73              4585.00         5760.00        10345.00
1970-1979       74              4951.00         6103.00        11054.00
1970-1979       75              5181.00         6062.00        11243.00
1970-1979       76              5329.00         6011.00        11340.00
1970-1979       77              4711.00         5307.00        10018.00
1970-1979       78              5456.00         5750.00        11206.00
1970-1979       79              4713.00         5014.00         9727.00
1970-1979       80              6356.00         5774.00        12130.00
1970-1979       81              4395.00         4237.00         8632.00
1970-1979       82              5248.00         4777.00        10025.00
1970-1979       83              5118.00         4370.00         9488.00
1970-1979       84              5337.00         4526.00         9863.00
1970-1979       85              4435.00         3706.00         8141.00
1970-1979       86              4557.00         3604.00         8161.00
1970-1979       87              3611.00         2880.00         6491.00
1970-1979       88              3348.00         2493.00         5841.00
