Spain, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1920-1929       19             11511.05        12239.66        23750.71
1920-1929       20             12876.70        12389.07        25265.77
1920-1929       21             10563.18        11621.24        22184.42
1920-1929       22             13973.78        13331.64        27305.42
1920-1929       23             12844.47        13096.94        25941.41
1920-1929       24             13207.30        12522.45        25729.75
1920-1929       25             12805.56        12194.44        25000.00
1920-1929       26             12751.48        11481.63        24233.11
1920-1929       27             11826.62        11082.62        22909.24
1920-1929       28             13372.83        11474.67        24847.50
1920-1929       29              9515.26         9252.15        18767.41
1920-1929       30             14859.70        11730.42        26590.12
1920-1929       31              7590.48         7472.68        15063.16
1920-1929       32             11858.83        10578.41        22437.24
1920-1929       33             10860.80        10743.76        21604.56
1920-1929       34             10949.86        10185.48        21135.34
1920-1929       35             11835.76        11192.02        23027.78
1920-1929       36             11303.73        10815.06        22118.79
1920-1929       37              9268.74         9899.70        19168.44
1920-1929       38             11795.62        11956.85        23752.47
1920-1929       39              8181.53         9473.56        17655.09
1920-1929       40             16661.22        16507.49        33168.71
1920-1929       41              6826.02         8277.63        15103.65
1920-1929       42             12223.43        14375.94        26599.37
1920-1929       43              8609.45        11053.62        19663.07
1920-1929       44             10331.96        13127.95        23459.91
1920-1929       45             13083.19        16686.90        29770.09
1920-1929       46             10504.20        13760.40        24264.60
1920-1929       47              9142.39        12556.29        21698.68
1920-1929       48             12517.89        16713.68        29231.57
1920-1929       49              8664.31        12827.82        21492.13
1920-1929       50             19893.17        23423.85        43317.02
1920-1929       51              7873.97        11328.27        19202.24
1920-1929       52             13861.22        18877.11        32738.33
1920-1929       53             10823.44        15485.46        26308.90
1920-1929       54             13887.41        18245.56        32132.97
1920-1929       55             15951.49        20897.24        36848.73
1920-1929       56             16001.37        20695.77        36697.14
1920-1929       57             12308.26        17555.69        29863.95
1920-1929       58             18083.40        23288.09        41371.49
1920-1929       59             12543.81        18951.43        31495.24
1920-1929       60             37288.09        37797.26        75085.35
1920-1929       61             12742.21        17598.04        30340.25
1920-1929       62             23749.15        29104.51        52853.66
1920-1929       63             20600.99        26625.18        47226.17
1920-1929       64             25554.58        29235.72        54790.30
1920-1929       65             31040.89        33555.51        64596.40
1920-1929       66             26546.18        30119.79        56665.97
1920-1929       67             23267.49        27492.80        50760.29
1920-1929       68             29408.57        30081.55        59490.12
1920-1929       69             17954.87        20870.75        38825.62
1920-1929       70             55869.25        45625.85       101495.10
1920-1929       71             17387.81        19764.44        37152.25
1920-1929       72             33827.71        33708.20        67535.91
1920-1929       73             26396.63        28347.35        54743.98
1920-1929       74             30625.78        30998.41        61624.19
1920-1929       75             37921.64        35083.53        73005.17
1920-1929       76             30240.07        28370.73        58610.80
1920-1929       77             25885.12        25789.93        51675.05
1920-1929       78             33261.13        30218.96        63480.09
1920-1929       79             17725.08        17589.59        35314.67
1920-1929       80             50212.79        34084.59        84297.38
1920-1929       81             14300.86        12559.32        26860.18
1920-1929       82             24105.00        18347.62        42452.62
1920-1929       83             16436.57        13456.24        29892.81
1920-1929       84             21810.73        16360.56        38171.29
1920-1929       85             19789.95        13279.98        33069.93
1920-1929       86             15103.07        10087.90        25190.97
1920-1929       87             11049.46         7485.50        18534.96
1920-1929       88             10726.98         7092.43        17819.41
1920-1929       89              6492.01         4146.28        10638.29
1920-1929       90             11609.04         5182.03        16791.07
1920-1929       91              2828.25         1510.75         4339.00
1920-1929       92              4066.63         2038.12         6104.75
1920-1929       93              2947.45         1509.76         4457.21
1920-1929       94              2647.98         1221.05         3869.03
1920-1929       95              2709.10         1021.56         3730.66
1920-1929       96              2133.02          867.17         3000.19
1920-1929       97              1338.53          525.34         1863.87
1920-1929       98              1347.56          444.09         1791.65
1920-1929       99               656.21          236.57          892.78
1920-1929      100               592.12          170.43          762.55
1920-1929      101               245.02           72.08          317.10
1920-1929      102               159.31           44.38          203.69
1920-1929      103               101.90           26.94          128.84
1920-1929      104                64.36           16.09           80.45
1920-1929      105                39.51            9.38           48.89
1920-1929      106                23.48            2.62           26.10
1920-1929      107                13.66            0.00           13.66
1920-1929      108                 7.61            0.00            7.61
1920-1929      109                 1.43            0.00            1.43
1920-1929      110+                0.00            0.00            0.00
1930-1939        0            335205.25       415210.42       750415.67
1930-1939        1            109159.62       119134.69       228294.31
1930-1939        2             48548.56        52297.48       100846.04
1930-1939        3             27345.34        29078.18        56423.52
1930-1939        4             18927.07        20034.17        38961.24
1930-1939        5             13654.15        15044.02        28698.17
1930-1939        6             11453.10        12417.44        23870.54
1930-1939        7              8474.41         9660.94        18135.35
1930-1939        8              7088.84         8227.39        15316.23
1930-1939        9              6192.38         7391.66        13584.04
1930-1939       10              5849.61         6805.72        12655.33
1930-1939       11              5470.01         6236.85        11706.86
1930-1939       12              5748.90         6442.76        12191.66
1930-1939       13              5772.34         5970.36        11742.70
1930-1939       14              6940.89         7122.77        14063.66
1930-1939       15              7208.57         7304.98        14513.55
1930-1939       16              7830.78         8556.09        16386.87
1930-1939       17              8900.11        10945.40        19845.51
1930-1939       18             10160.19        14883.55        25043.74
1930-1939       19              9251.57        15611.48        24863.05
1930-1939       20             10414.46        16758.86        27173.32
1930-1939       21              9367.18        16514.21        25881.39
1930-1939       22             11672.62        17895.49        29568.11
1930-1939       23             11454.65        17916.28        29370.93
1930-1939       24             11650.64        17459.55        29110.19
1930-1939       25             11073.89        17245.86        28319.75
1930-1939       26             11398.16        16168.00        27566.16
1930-1939       27             10845.91        15958.57        26804.48
1930-1939       28             11625.06        16594.57        28219.63
1930-1939       29              8901.93        13529.38        22431.31
1930-1939       30             12743.71        15976.65        28720.36
1930-1939       31              7266.18        11045.78        18311.96
1930-1939       32             10624.48        14303.91        24928.39
1930-1939       33             10038.20        13827.67        23865.87
1930-1939       34              9413.99        13305.29        22719.28
1930-1939       35             10789.43        14828.16        25617.59
1930-1939       36             10312.20        15194.39        25506.59
1930-1939       37              8882.75        12817.26        21700.01
1930-1939       38             10909.29        13608.14        24517.43
1930-1939       39              8098.32        12500.11        20598.43
1930-1939       40             14045.32        17697.66        31742.98
1930-1939       41              6722.19        11150.58        17872.77
1930-1939       42             11230.63        16879.61        28110.24
1930-1939       43              8455.04        13596.51        22051.55
1930-1939       44              9705.56        15015.96        24721.52
1930-1939       45             12263.75        19319.87        31583.62
1930-1939       46             10212.25        15761.13        25973.38
1930-1939       47              9109.40        15147.05        24256.45
1930-1939       48             11955.44        18549.43        30504.87
1930-1939       49              8888.28        15314.96        24203.24
1930-1939       50             17224.58        23689.03        40913.61
1930-1939       51              8109.15        14107.79        22216.94
1930-1939       52             13652.18        20666.17        34318.35
1930-1939       53             11307.34        18083.18        29390.52
1930-1939       54             13721.49        20337.40        34058.89
1930-1939       55             15829.39        22850.24        38679.63
1930-1939       56             16351.54        23151.38        39502.92
1930-1939       57             13488.03        20403.59        33891.62
1930-1939       58             18701.33        25635.40        44336.73
1930-1939       59             13971.30        21766.24        35737.54
1930-1939       60             31694.72        36565.29        68260.01
1930-1939       61             14622.22        19258.99        33881.21
1930-1939       62             23625.43        30495.62        54121.05
1930-1939       63             21169.31        27738.39        48907.70
1930-1939       64             25055.34        30460.23        55515.57
1930-1939       65             31543.24        36474.70        68017.94
1930-1939       66             26718.18        31928.54        58646.72
1930-1939       67             25092.44        30788.12        55880.56
1930-1939       68             29876.11        33233.88        63109.99
1930-1939       69             20174.71        24944.75        45119.46
1930-1939       70             51029.31        46621.55        97650.86
