Japan, Deaths (period 1x10), 	Last modified: 12 Mar 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959      109                 3.00            1.00            4.00
1950-1959      110+                8.00            1.00            9.00
1960-1969        0            152691.35       202683.35       355374.70
1960-1969        1             17361.32        21274.07        38635.39
1960-1969        2             10848.75        13932.40        24781.15
1960-1969        3              8068.57        11250.09        19318.66
1960-1969        4              6869.49         9581.73        16451.22
1960-1969        5              5634.41         8141.55        13775.96
1960-1969        6              4509.32         6952.36        11461.68
1960-1969        7              3803.26         6265.15        10068.41
1960-1969        8              3269.19         5612.02         8881.21
1960-1969        9              3029.16         4943.88         7973.04
1960-1969       10              2891.14         4669.81         7560.95
1960-1969       11              2980.14         4512.71         7492.85
1960-1969       12              3192.16         4678.78         7870.94
1960-1969       13              3350.19         5178.90         8529.09
1960-1969       14              3334.20         5580.98         8915.18
1960-1969       15              3646.24         6640.22        10286.46
1960-1969       16              4470.36         9217.88        13688.24
1960-1969       17              5095.40        11241.47        16336.87
1960-1969       18              6005.47        12278.72        18284.19
1960-1969       19              6943.60        13532.09        20475.69
1960-1969       20              7499.68        14061.21        21560.89
1960-1969       21              7712.64        13987.22        21699.86
1960-1969       22              8165.60        14367.76        22533.36
1960-1969       23              8534.60        14364.67        22899.27
1960-1969       24              8972.71        15153.00        24125.71
1960-1969       25              9287.77        15340.11        24627.88
1960-1969       26              9389.81        14822.13        24211.94
1960-1969       27              9475.77        14896.06        24371.83
1960-1969       28              9711.76        14765.99        24477.75
1960-1969       29              9996.75        15339.91        25336.66
1960-1969       30             10158.81        14961.95        25120.76
1960-1969       31             10482.85        15643.18        26126.03
1960-1969       32             10990.88        16299.42        27290.30
1960-1969       33             11212.93        16938.61        28151.54
1960-1969       34             11711.97        17780.71        29492.68
1960-1969       35             12019.00        18293.97        30312.97
1960-1969       36             12389.04        18549.31        30938.35
1960-1969       37             12875.11        18948.49        31823.60
1960-1969       38             13383.12        19027.54        32410.66
1960-1969       39             13950.17        19866.91        33817.08
1960-1969       40             14374.25        19620.89        33995.14
1960-1969       41             14768.26        19913.11        34681.37
1960-1969       42             15179.39        19924.14        35103.53
1960-1969       43             15921.46        20348.15        36269.61
1960-1969       44             16935.55        21573.27        38508.82
1960-1969       45             17801.60        22211.11        40012.71
1960-1969       46             18868.71        23535.21        42403.92
1960-1969       47             20155.83        25227.37        45383.20
1960-1969       48             21493.88        27148.82        48642.70
1960-1969       49             22791.87        29937.13        52729.00
1960-1969       50             24112.02        32052.44        56164.46
1960-1969       51             25981.21        34935.11        60916.32
1960-1969       52             27594.41        38210.95        65805.36
1960-1969       53             28928.50        41458.67        70387.17
1960-1969       54             30417.71        44557.31        74975.02
1960-1969       55             31305.79        48090.15        79395.94
1960-1969       56             32954.02        51636.31        84590.33
1960-1969       57             34735.27        56206.17        90941.44
1960-1969       58             38610.58        62277.89       100888.47
1960-1969       59             39324.62        65266.22       104590.84
1960-1969       60             41200.79        68706.13       109906.92
1960-1969       61             43634.99        72909.17       116544.16
1960-1969       62             45987.01        77000.61       122987.62
1960-1969       63             49060.39        81017.53       130077.92
1960-1969       64             52864.76        85752.79       138617.55
1960-1969       65             55520.13        89868.24       145388.37
1960-1969       66             59162.59        92278.80       151441.39
1960-1969       67             62608.93        95568.54       158177.47
1960-1969       68             66127.21        96870.63       162997.84
1960-1969       69             68707.43        98513.05       167220.48
1960-1969       70             72483.86       100592.71       173076.57
1960-1969       71             77022.11       102955.03       179977.14
1960-1969       72             80863.56       102887.14       183750.70
1960-1969       73             85011.88       102720.24       187732.12
1960-1969       74             86878.99       101043.88       187922.87
1960-1969       75             90307.38        99158.49       189465.87
1960-1969       76             93270.47        95641.22       188911.69
1960-1969       77             94767.44        93012.43       187779.87
1960-1969       78             96195.00        88165.66       184360.66
1960-1969       79             96536.21        83299.47       179835.68
1960-1969       80             94910.93        77282.84       172193.77
1960-1969       81             91828.58        70070.74       161899.32
1960-1969       82             86996.94        62621.65       149618.59
1960-1969       83             82667.51        55128.63       137796.14
1960-1969       84             75970.28        48057.29       124027.57
1960-1969       85             68347.62        41064.70       109412.32
1960-1969       86             60659.93        34068.23        94728.16
1960-1969       87             52164.29        27336.75        79501.04
1960-1969       88             43680.47        21557.27        65237.74
1960-1969       89             35293.65        16323.15        51616.80
1960-1969       90             27501.99        12282.17        39784.16
1960-1969       91             21110.32         8880.36        29990.68
1960-1969       92             16043.78         6224.69        22268.47
1960-1969       93             11223.28         4170.14        15393.42
1960-1969       94              7923.86         2762.76        10686.62
1960-1969       95              5206.56         1780.49         6987.05
1960-1969       96              3590.38         1119.29         4709.67
1960-1969       97              2133.18          619.15         2752.33
1960-1969       98              1332.12          347.07         1679.19
1960-1969       99               819.07          197.04         1016.11
1960-1969      100               417.05          113.04          530.09
1960-1969      101               225.02           48.00          273.02
1960-1969      102               122.00           37.00          159.00
1960-1969      103                62.00           16.00           78.00
1960-1969      104                36.00           13.00           49.00
1960-1969      105                13.00            4.00           17.00
1960-1969      106                 8.00            0.00            8.00
1960-1969      107                 3.00            1.00            4.00
1960-1969      108                 1.00            0.00            1.00
1960-1969      109                 3.00            0.00            3.00
1960-1969      110+                2.00            0.00            2.00
1970-1979        0             84061.77       114731.11       198792.88
1970-1979        1             11954.35        14610.63        26564.98
1970-1979        2              6810.33         9382.48        16192.81
1970-1979        3              5019.01         7561.00        12580.01
1970-1979        4              4026.80         6361.05        10387.85
1970-1979        5              3368.66         5508.38         8877.04
1970-1979        6              2903.58         5044.00         7947.58
1970-1979        7              2427.48         3996.16         6423.64
1970-1979        8              1943.37         3342.64         5286.01
1970-1979        9              1707.31         2790.22         4497.53
1970-1979       10              1608.32         2397.91         4006.23
1970-1979       11              1459.28         2373.88         3833.16
1970-1979       12              1521.28         2489.98         4011.26
1970-1979       13              1607.30         2709.12         4316.42
1970-1979       14              1650.34         2941.34         4591.68
1970-1979       15              1957.38         3870.08         5827.46
1970-1979       16              2388.48         7474.94         9863.42
1970-1979       17              2811.57         8768.93        11580.50
1970-1979       18              3129.63         8834.97        11964.60
1970-1979       19              3755.75         9375.44        13131.19
1970-1979       20              4489.89         9815.78        14305.67
1970-1979       21              4804.99        10251.14        15056.13
1970-1979       22              5281.05        10817.61        16098.66
1970-1979       23              5877.19        10897.61        16774.80
1970-1979       24              5811.18        10751.49        16562.67
1970-1979       25              6102.24        10770.62        16872.86
1970-1979       26              6168.19        10845.69        17013.88
1970-1979       27              6372.22        10955.75        17327.97
1970-1979       28              6578.30        11242.94        17821.24
1970-1979       29              6852.34        11388.93        18241.27
1970-1979       30              7065.38        11514.07        18579.45
1970-1979       31              6977.38        11492.14        18469.52
1970-1979       32              7166.41        11749.34        18915.75
1970-1979       33              7589.48        12601.03        20190.51
1970-1979       34              8071.58        13699.90        21771.48
1970-1979       35              8563.68        15026.91        23590.59
1970-1979       36              9071.79        15642.34        24714.13
1970-1979       37              9716.94        17202.67        26919.61
1970-1979       38             10100.98        18311.57        28412.55
1970-1979       39             10948.18        19996.90        30945.08
1970-1979       40             11567.27        21857.38        33424.65
1970-1979       41             12562.47        23419.58        35982.05
1970-1979       42             13308.59        25274.12        38582.71
1970-1979       43             14317.79        27313.70        41631.49
1970-1979       44             15438.99        28512.65        43951.64
1970-1979       45             16251.18        30156.94        46408.12
1970-1979       46             17339.38        30995.59        48334.97
1970-1979       47             18479.61        32331.64        50811.25
1970-1979       48             19779.85        32580.90        52360.75
1970-1979       49             20776.05        33126.36        53902.41
1970-1979       50             22169.30        34103.07        56272.37
1970-1979       51             23075.47        34668.47        57743.94
1970-1979       52             24234.71        35512.12        59746.83
1970-1979       53             25438.96        36207.64        61646.60
1970-1979       54             26361.09        37202.46        63563.55
1970-1979       55             27491.33        39254.13        66745.46
1970-1979       56             29413.74        42045.34        71459.08
1970-1979       57             31242.12        45150.81        76392.93
1970-1979       58             33409.56        48989.90        82399.46
1970-1979       59             35237.92        53137.22        88375.14
1970-1979       60             37524.35        56694.05        94218.40
1970-1979       61             41370.08        62095.32       103465.40
1970-1979       62             43983.62        67679.75       111663.37
1970-1979       63             47000.19        72579.64       119579.83
1970-1979       64             50320.77        77219.31       127540.08
1970-1979       65             53858.45        82338.45       136196.90
1970-1979       66             56734.97        87394.58       144129.55
1970-1979       67             61601.94        92580.67       154182.61
1970-1979       68             65558.78        99220.85       164779.63
1970-1979       69             69643.59       103158.75       172802.34
1970-1979       70             75130.65       107855.49       182986.14
1970-1979       71             79095.43       110790.95       189886.38
1970-1979       72             84426.44       113844.61       198271.05
1970-1979       73             88787.19       115297.78       204084.97
1970-1979       74             94558.31       117854.77       212413.08
1970-1979       75             98584.01       118218.92       216802.93
1970-1979       76            103266.91       117199.91       220466.82
1970-1979       77            105762.38       114030.55       219792.93
1970-1979       78            107159.60       109493.87       216653.47
1970-1979       79            106827.53       104342.87       211170.40
1970-1979       80            107327.56        97490.53       204818.09
1970-1979       81            106270.41        90717.08       196987.49
1970-1979       82            101693.53        83114.96       184808.49
1970-1979       83             97917.83        74279.88       172197.71
1970-1979       84             91041.48        64942.41       155983.89
1970-1979       85             83817.09        55671.23       139488.32
1970-1979       86             76116.57        47411.82       123528.39
1970-1979       87             67602.92        39053.05       106655.97
1970-1979       88             58727.22        31631.07        90358.29
1970-1979       89             50662.68        25143.90        75806.58
1970-1979       90             41743.00        19318.31        61061.31
1970-1979       91             33663.42        14304.35        47967.77
1970-1979       92             26354.06        10428.29        36782.35
1970-1979       93             19681.78         7455.92        27137.70
1970-1979       94             14741.79         5042.00        19783.79
1970-1979       95             10372.96         3478.75        13851.71
1970-1979       96              7221.39         2340.88         9562.27
1970-1979       97              4656.89         1439.16         6096.05
1970-1979       98              3018.58          866.69         3885.27
1970-1979       99              1856.35          503.39         2359.74
1970-1979      100              1094.22          313.24         1407.46
1970-1979      101               597.14          140.13          737.27
1970-1979      102               353.03           84.01          437.04
1970-1979      103               171.00           54.02          225.02
1970-1979      104                99.00           29.00          128.00
1970-1979      105                51.00           18.00           69.00
1970-1979      106                23.00            6.00           29.00
1970-1979      107                 9.00            4.00           13.00
1970-1979      108                 5.00            3.00            8.00
1970-1979      109                 2.00            0.00            2.00
1970-1979      110+                4.00            1.00            5.00
1980-1989        0             37329.06        47596.07        84925.13
1980-1989        1              5831.09         7304.39        13135.48
1980-1989        2              3300.62         4433.84         7734.46
1980-1989        3              2491.46         3664.16         6155.62
1980-1989        4              1909.37         3064.66         4974.03
1980-1989        5              1722.34         2934.53         4656.87
1980-1989        6              1634.32         2727.32         4361.64
1980-1989        7              1433.27         2578.21         4011.48
1980-1989        8              1277.22         2128.85         3406.07
1980-1989        9              1205.24         1929.68         3134.92
1980-1989       10              1101.19         1755.51         2856.70
1980-1989       11              1125.20         1773.57         2898.77
1980-1989       12              1111.21         1912.69         3023.90
1980-1989       13              1237.22         2102.85         3340.07
1980-1989       14              1340.24         2360.10         3700.34
1980-1989       15              1609.29         3155.82         4765.11
1980-1989       16              1995.37         6143.43         8138.80
1980-1989       17              2168.42         7050.31         9218.73
1980-1989       18              2438.47         7369.63         9808.10
1980-1989       19              2546.48         7671.90        10218.38
1980-1989       20              2649.49         7481.68        10131.17
1980-1989       21              2650.48         6952.18         9602.66
1980-1989       22              2577.50         6618.90         9196.40
1980-1989       23              2698.50         6499.80         9198.30
1980-1989       24              2827.54         6174.46         9002.00
1980-1989       25              2953.57         6368.65         9322.22
1980-1989       26              3132.58         6493.73         9626.31
1980-1989       27              3306.62         6588.81         9895.43
1980-1989       28              3555.67         6723.88        10279.55
1980-1989       29              3879.71         7196.27        11075.98
1980-1989       30              4238.81         7678.68        11917.49
1980-1989       31              4664.88         8198.07        12862.95
1980-1989       32              5145.96         9138.89        14284.85
1980-1989       33              5701.07        10065.75        15766.82
