Slovenia, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2000-2009        9                11.00           11.00           22.00
2000-2009       10                11.00            9.00           20.00
2000-2009       11                 7.00           14.00           21.00
2000-2009       12                 6.00           14.00           20.00
2000-2009       13                10.00           23.00           33.00
2000-2009       14                18.00           24.00           42.00
2000-2009       15                26.00           45.00           71.00
2000-2009       16                28.00           61.00           89.00
2000-2009       17                36.00           80.00          116.00
2000-2009       18                35.00          114.00          149.00
2000-2009       19                42.00          134.00          176.00
2000-2009       20                38.00          141.00          179.00
2000-2009       21                41.00          169.00          210.00
2000-2009       22                41.00          174.00          215.00
2000-2009       23                45.00          189.00          234.00
2000-2009       24                31.00          156.00          187.00
2000-2009       25                27.00          181.00          208.00
2000-2009       26                40.00          178.00          218.00
2000-2009       27                42.00          150.00          192.00
2000-2009       28                53.00          185.00          238.00
2000-2009       29                38.00          159.00          197.00
2000-2009       30                45.00          190.00          235.00
2000-2009       31                54.00          156.00          210.00
2000-2009       32                60.00          163.00          223.00
2000-2009       33                66.00          190.00          256.00
2000-2009       34                67.00          193.00          260.00
2000-2009       35                81.00          218.00          299.00
2000-2009       36                86.00          245.00          331.00
2000-2009       37               100.00          242.00          342.00
2000-2009       38               115.00          281.00          396.00
2000-2009       39               111.00          314.00          425.00
2000-2009       40               120.00          360.00          480.00
2000-2009       41               154.00          415.00          569.00
2000-2009       42               177.00          430.00          607.00
2000-2009       43               207.00          492.00          699.00
2000-2009       44               201.00          554.00          755.00
2000-2009       45               242.00          611.00          853.00
2000-2009       46               285.00          704.00          989.00
2000-2009       47               293.00          799.00         1092.00
2000-2009       48               390.00          847.00         1237.00
2000-2009       49               360.00          913.00         1273.00
2000-2009       50               457.00         1015.00         1472.00
2000-2009       51               480.00         1091.00         1571.00
2000-2009       52               447.00         1124.00         1571.00
2000-2009       53               506.00         1249.00         1755.00
2000-2009       54               569.00         1251.00         1820.00
2000-2009       55               517.00         1318.00         1835.00
2000-2009       56               576.00         1317.00         1893.00
2000-2009       57               582.00         1420.00         2002.00
2000-2009       58               634.00         1459.00         2093.00
2000-2009       59               589.00         1562.00         2151.00
2000-2009       60               624.00         1579.00         2203.00
2000-2009       61               687.00         1575.00         2262.00
2000-2009       62               744.00         1772.00         2516.00
2000-2009       63               834.00         1794.00         2628.00
2000-2009       64               868.00         1971.00         2839.00
2000-2009       65               946.00         1995.00         2941.00
2000-2009       66              1051.00         2164.00         3215.00
2000-2009       67              1116.00         2294.00         3410.00
2000-2009       68              1286.00         2437.00         3723.00
2000-2009       69              1464.00         2592.00         4056.00
2000-2009       70              1533.00         2702.00         4235.00
2000-2009       71              1856.00         2882.00         4738.00
2000-2009       72              1983.00         2885.00         4868.00
2000-2009       73              2128.00         2995.00         5123.00
2000-2009       74              2368.00         2925.00         5293.00
2000-2009       75              2615.00         2990.00         5605.00
2000-2009       76              2828.00         3083.00         5911.00
2000-2009       77              3004.00         2901.00         5905.00
2000-2009       78              3222.00         2808.00         6030.00
2000-2009       79              3513.00         2662.00         6175.00
2000-2009       80              3680.00         2633.00         6313.00
2000-2009       81              3714.00         2381.00         6095.00
2000-2009       82              3702.00         2148.00         5850.00
2000-2009       83              3585.00         1987.00         5572.00
2000-2009       84              3405.00         1823.00         5228.00
2000-2009       85              3381.00         1616.00         4997.00
2000-2009       86              3166.00         1482.00         4648.00
2000-2009       87              3106.00         1320.00         4426.00
2000-2009       88              2951.00         1298.00         4249.00
2000-2009       89              2712.00         1129.00         3841.00
2000-2009       90              2504.00          958.00         3462.00
2000-2009       91              2162.00          836.00         2998.00
2000-2009       92              2015.00          710.00         2725.00
2000-2009       93              1788.00          592.00         2380.00
2000-2009       94              1458.00          431.00         1889.00
2000-2009       95              1210.00          313.00         1523.00
2000-2009       96               880.00          208.00         1088.00
2000-2009       97               592.00          155.00          747.00
2000-2009       98               396.00           91.00          487.00
2000-2009       99               286.00           55.00          341.00
2000-2009      100               149.00           39.00          188.00
2000-2009      101               101.00           17.00          118.00
2000-2009      102                53.00           11.00           64.00
2000-2009      103                36.00            8.00           44.00
2000-2009      104                15.00            0.00           15.00
2000-2009      105                 6.00            0.00            6.00
2000-2009      106                 7.00            0.00            7.00
2000-2009      107                 3.00            0.00            3.00
2000-2009      108                 1.00            1.00            2.00
2000-2009      109                 0.00            0.00            0.00
2000-2009      110+                0.00            0.00            0.00
2010-2014        0               123.00          134.00          257.00
2010-2014        1                10.00           12.00           22.00
2010-2014        2                10.00            6.00           16.00
2010-2014        3                 7.00           11.00           18.00
2010-2014        4                 9.00            3.00           12.00
2010-2014        5                 3.00            7.00           10.00
2010-2014        6                 4.00            8.00           12.00
2010-2014        7                 4.00            4.00            8.00
2010-2014        8                 3.00            3.00            6.00
2010-2014        9                 2.00            1.00            3.00
2010-2014       10                 4.00            5.00            9.00
2010-2014       11                 3.00            8.00           11.00
2010-2014       12                 3.00            4.00            7.00
2010-2014       13                 3.00            0.00            3.00
2010-2014       14                 8.00            5.00           13.00
2010-2014       15                 3.00           10.00           13.00
2010-2014       16                 4.00           12.00           16.00
2010-2014       17                 6.00           18.00           24.00
2010-2014       18                 4.00           26.00           30.00
2010-2014       19                17.00           25.00           42.00
2010-2014       20                 6.00           31.00           37.00
2010-2014       21                17.00           31.00           48.00
2010-2014       22                15.00           49.00           64.00
2010-2014       23                13.00           48.00           61.00
2010-2014       24                14.00           54.00           68.00
2010-2014       25                 8.00           39.00           47.00
2010-2014       26                10.00           38.00           48.00
2010-2014       27                14.00           41.00           55.00
2010-2014       28                 7.00           54.00           61.00
2010-2014       29                16.00           64.00           80.00
2010-2014       30                19.00           58.00           77.00
2010-2014       31                18.00           79.00           97.00
2010-2014       32                26.00           63.00           89.00
2010-2014       33                24.00           69.00           93.00
2010-2014       34                27.00           71.00           98.00
2010-2014       35                36.00           77.00          113.00
2010-2014       36                40.00           88.00          128.00
2010-2014       37                41.00           85.00          126.00
2010-2014       38                30.00           88.00          118.00
2010-2014       39                38.00          108.00          146.00
2010-2014       40                39.00          114.00          153.00
2010-2014       41                58.00          110.00          168.00
2010-2014       42                59.00          126.00          185.00
2010-2014       43                66.00          159.00          225.00
2010-2014       44                85.00          185.00          270.00
2010-2014       45               106.00          193.00          299.00
2010-2014       46                88.00          236.00          324.00
2010-2014       47               108.00          208.00          316.00
2010-2014       48               124.00          280.00          404.00
2010-2014       49               147.00          283.00          430.00
2010-2014       50               145.00          337.00          482.00
2010-2014       51               161.00          376.00          537.00
2010-2014       52               185.00          446.00          631.00
2010-2014       53               203.00          467.00          670.00
